"YEAR","MONTH","DAY","TMAX","TMIN","TOBS","PRCP","SX32","SN32","SX33","SN33","SX35","SN35"
"2017","12","6","66","31","33","0","52","47","52","50","56","55"
"2017","12","7","62","31","34","0","50","46","51","49","55","54"
"2017","12","8","67","32","34","0","49","45","50","48","54","54"
"2017","12","9","63","30","41","0","49","45","49","47","54","53"
"2017","12","10","65","29","45","0","49","44","49","47","53","52"
"2017","12","11","64","31","34","0","48","44","49","47","53","52"
"2017","12","12","64","29","37","0","48","44","48","46","52","52"
"2017","12","13","63","27","32","0","48","43","48","43","52","51"
"2017","12","15","65","32","37","0","47","43","47","45","51","50"
"2017","12","16","62","36","54","0","48","43","48","45","51","50"
"2017","12","17","62","48","49","0","49","45","49","47","51","50"
"2017","12","18","64","34","40","0","50","46","49","47","51","50"
"2017","12","19","62","33","38","0","48","45","48","47","51","50"
"2017","12","20","58","38","44","0.03","49","44","49","46","51","50"
"2017","12","21","56","39","41","0","50","45","49","47","51","50"
"2017","12","22","57","29","33","0","48","43","48","46","51","50"
"2017","12","23","52","32","37","0","46","43","47","45","51","50"
"2017","12","24","56","36","42","0","47","44","47","45","50","50"
"2017","12","25","55","36","38","0","47","44","47","45","50","50"
"2017","12","26","60","31","32","0","48","44","48","46","50","50"
"2017","12","27","62","30","31","0","48","44","48","46","50","50"
"2017","12","28","61","31","34","0","47","44","48","46","50","50"
"2017","12","29","63","33","43","0","48","43","47","45","50","49"
"2017","12","30","62","31","32","0","48","39","47","43","50","49"
"2017","12","31","61","32","36","0","47","43","47","45","50","49"
